[12/12/2022 2:41 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:41 PM]  (INFO) -> Session successfully logged?  [false] []
[12/12/2022 2:41 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:43 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:43 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:44 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:44 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:44 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:44 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:46 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:46 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:48 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:48 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:50 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:50 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:51 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:51 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:53 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:53 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:56 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:56 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:59 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:59 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 2:59 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 2:59 PM]  (INFO) -> Session key obtained:  {"username":"johny"} []
[12/12/2022 3:42 PM]  (INFO) -> Session successfully logged?  [true] []
[12/12/2022 3:42 PM]  (INFO) -> Session key obtained:  {"username":"hello"} []
[13/12/2022 6:05 PM]  (INFO) -> Session successfully logged?  [true] []
[13/12/2022 6:05 PM]  (INFO) -> Session key obtained:  {"username":"mistake"} []
[13/12/2022 6:06 PM]  (INFO) -> Session successfully logged?  [true] []
[13/12/2022 6:06 PM]  (INFO) -> Session key obtained:  {"username":"mistake"} []
